# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2019-01-01T00:00:00.0/2019-01-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-01T01:00:00.0/2019-01-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-01T02:00:00.0/2019-01-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-01T03:00:00.0/2019-01-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-01T04:00:00.0/2019-01-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-01T05:00:00.0/2019-01-01T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-01T06:00:00.0/2019-01-01T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-01T07:00:00.0/2019-01-01T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-01T08:00:00.0/2019-01-01T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-01T09:00:00.0/2019-01-01T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-01T10:00:00.0/2019-01-01T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-01T11:00:00.0/2019-01-01T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-01T12:00:00.0/2019-01-01T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-01T13:00:00.0/2019-01-01T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-01T14:00:00.0/2019-01-01T15:00:00.0;33.2290;16.8370;10.6048;6.2322;177.4864
2019-01-01T15:00:00.0/2019-01-01T16:00:00.0;231.8388;160.1386;128.1937;31.9448;757.1669
2019-01-01T16:00:00.0/2019-01-01T17:00:00.0;417.7780;322.1102;277.1071;45.0031;930.5603
2019-01-01T17:00:00.0/2019-01-01T18:00:00.0;551.1449;443.3362;391.2803;52.0558;998.7833
2019-01-01T18:00:00.0/2019-01-01T19:00:00.0;622.8539;509.8313;454.1224;55.7089;1026.3657
2019-01-01T19:00:00.0/2019-01-01T20:00:00.0;628.0198;515.2396;458.6870;56.5526;1028.1899
2019-01-01T20:00:00.0/2019-01-01T21:00:00.0;566.2903;458.7779;404.2746;54.5033;1004.4993
2019-01-01T21:00:00.0/2019-01-01T22:00:00.0;441.8709;344.7446;295.0284;49.7162;936.9992
2019-01-01T22:00:00.0/2019-01-01T23:00:00.0;263.2381;185.6836;146.7771;38.9066;768.0461
2019-01-01T23:00:00.0/2019-01-02T00:00:00.0;54.8955;29.0668;17.9573;11.1095;238.3226
2019-01-02T00:00:00.0/2019-01-02T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-02T01:00:00.0/2019-01-02T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-02T02:00:00.0/2019-01-02T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-02T03:00:00.0/2019-01-02T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-02T04:00:00.0/2019-01-02T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-02T05:00:00.0/2019-01-02T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-02T06:00:00.0/2019-01-02T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-02T07:00:00.0/2019-01-02T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-02T08:00:00.0/2019-01-02T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-02T09:00:00.0/2019-01-02T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-02T10:00:00.0/2019-01-02T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-02T11:00:00.0/2019-01-02T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-02T12:00:00.0/2019-01-02T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-02T13:00:00.0/2019-01-02T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-02T14:00:00.0/2019-01-02T15:00:00.0;33.0726;17.9509;11.8329;6.1180;200.0165
2019-01-02T15:00:00.0/2019-01-02T16:00:00.0;231.8610;166.8993;136.4424;30.4570;807.8806
2019-01-02T16:00:00.0/2019-01-02T17:00:00.0;418.2969;331.8244;289.9566;41.8678;972.8847
2019-01-02T17:00:00.0/2019-01-02T18:00:00.0;552.2118;453.9788;406.3071;47.6716;1035.2534
2019-01-02T18:00:00.0/2019-01-02T19:00:00.0;624.4829;519.8326;469.4699;50.3627;1058.3313
2019-01-02T19:00:00.0/2019-01-02T20:00:00.0;630.1867;523.5607;473.0092;50.5514;1056.6622
2019-01-02T20:00:00.0/2019-01-02T21:00:00.0;568.9343;465.3954;417.1118;48.2836;1031.6184
2019-01-02T21:00:00.0/2019-01-02T22:00:00.0;444.8990;350.8791;307.0997;43.7794;969.0692
2019-01-02T22:00:00.0/2019-01-02T23:00:00.0;266.5310;191.7626;156.7535;35.0091;812.4816
2019-01-02T23:00:00.0/2019-01-03T00:00:00.0;57.2568;31.7541;21.0239;10.7302;277.0849
2019-01-03T00:00:00.0/2019-01-03T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-03T01:00:00.0/2019-01-03T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-03T02:00:00.0/2019-01-03T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-03T03:00:00.0/2019-01-03T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-03T04:00:00.0/2019-01-03T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-03T05:00:00.0/2019-01-03T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-03T06:00:00.0/2019-01-03T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-03T07:00:00.0/2019-01-03T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-03T08:00:00.0/2019-01-03T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-03T09:00:00.0/2019-01-03T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-03T10:00:00.0/2019-01-03T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-03T11:00:00.0/2019-01-03T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-03T12:00:00.0/2019-01-03T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-03T13:00:00.0/2019-01-03T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-03T14:00:00.0/2019-01-03T15:00:00.0;32.9945;17.0494;10.7973;6.2521;181.6909
2019-01-03T15:00:00.0/2019-01-03T16:00:00.0;232.0392;160.8647;129.9052;30.9594;767.4138
2019-01-03T16:00:00.0/2019-01-03T17:00:00.0;418.9753;321.9897;278.8648;43.1249;933.9819
2019-01-03T17:00:00.0/2019-01-03T18:00:00.0;553.4386;442.3947;392.7172;49.6775;998.3673
2019-01-03T18:00:00.0/2019-01-03T19:00:00.0;626.2693;507.8548;454.1723;53.6825;1020.9478
2019-01-03T19:00:00.0/2019-01-03T20:00:00.0;632.5054;512.2078;456.4767;55.7311;1015.9857
2019-01-03T20:00:00.0/2019-01-03T21:00:00.0;571.7222;455.5716;400.5580;55.0136;985.7456
2019-01-03T21:00:00.0/2019-01-03T22:00:00.0;448.0608;343.1265;293.3260;49.8005;919.0196
2019-01-03T22:00:00.0/2019-01-03T23:00:00.0;269.9464;187.9167;149.9734;37.9433;767.3884
2019-01-03T23:00:00.0/2019-01-04T00:00:00.0;59.7439;31.9478;20.3531;11.5947;261.7675
2019-01-04T00:00:00.0/2019-01-04T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-01-04T01:00:00.0/2019-01-04T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
